JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
0.084482571,-0.264889416,0.201239724,-1,1.687140824,-0.160472099,1.794479337,1,-1,0.038931175,0
0.038931175,-0.132199853,0.328375232,1,-0.259767249,-2.041024594,0.214020984,-1,-1,0.815763075,1
0.815763075,-0.241226988,1.034496464,1,1.013961884,-0.782146209,1.228919508,1,1,-0.170696684,0
-0.170696684,-0.287645621,0.322771688,1,-2.459831475,-3.274859871,0.107428694,-1,-1,0.096485916,0
0.096485916,-0.045105722,0.712619214,1,-2.46362347,-2.622194252,0.929499375,-1,-1,0.018777889,0
0.018777889,-0.244862655,0.242443923,-1,-0.385492453,-0.923425856,0.8243117,-1,1,0.372583756,0
0.372583756,-0.017981297,0.872974122,1,-0.436940339,-0.864754539,0.98484434,1,1,-0.062223808,0
-0.062223808,-0.130468989,0.410133531,1,-1.681262839,-2.628761109,0,-1,-1,0.731577179,1
0.731577179,-0.075004455,0.769344637,1,-2.851232739,-3.289180766,0,-1,-1,0.200829275,0
0.200829275,-0.168405498,0.302987279,1,-0.120634191,-1.030282332,0.753317494,-1,-1,-0.416500122,0
-0.416500122,-0.827083452,0.120106828,-1,1.738324255,-0.509972801,1.980600569,1,-1,-0.264465443,0
-0.264465443,-0.268043003,0.567316021,1,0.732205699,-3.433453042,2.129251309,-1,-1,0.166639193,0
0.166639193,-0.342361559,0.349432158,1,0.850918993,-1.97937917,1.143539853,-1,-1,0.422015831,0
0.422015831,-0.023297941,0.519743214,1,-1.365168218,-2.424139685,0.06374225,-1,-1,0.397860854,0
0.397860854,-0.02137767,0.484145835,1,-2.074934788,-2.074934788,0.37066294,-1,-1,0.378589799,0
0.378589799,-0.045441201,0.483904311,1,-0.725742514,-1.273653566,0.50009261,-1,-1,0.11265671,0
0.11265671,-0.070589729,0.333008413,1,0.371816323,-0.06786772,0.62123377,1,1,-0.175319811,0
-0.175319811,-0.200163767,0.082008277,-1,0.618607215,-0.749154181,0.927689378,1,-1,-1.084656547,-1
-1.084656547,-1.435761125,0.039593065,-1,5.83338397,-1.140878647,5.83338397,1,-1,-1.039354803,-1
-1.039354803,-1.273854752,0.644173654,-1,-1.499170102,-3.316165651,0.491615229,-1,1,0.602918826,1
0.602918826,-0.288506455,0.916872981,1,-1.515321585,-2.337488869,1.217050239,-1,-1,0.138209272,0
0.138209272,-0.338109475,0.437268479,1,0.173631207,-3.134094471,0.237447154,-1,-1,1.200171145,1
1.200171145,-0.083823283,1.234912795,1,0.474531475,-1.420320603,0.904868191,-1,-1,-0.518281275,-1
-0.518281275,-0.520055487,0.044843147,-1,4.634697763,-0.062507103,5.267253247,1,-1,0.106514954,0
0.106514954,-0.130600132,0.718429968,1,0.279552716,-2.121617107,1.854319986,-1,-1,0.025795036,0
0.025795036,-0.194493621,0.435331666,1,-1.090825583,-1.767590375,0.707312796,-1,-1,0.743942228,1
0.743942228,-0.334855004,1.000432023,1,-5.242311277,-5.84558398,0.562527045,-1,-1,-0.137624067,0
-0.137624067,-0.463132055,0.456707859,-1,-4.902680867,-6.052727053,0.193461018,-1,1,0.236668397,0
0.236668397,-0.315826396,0.37200915,1,0.923097357,-0.006579813,2.150971298,1,1,0.142421012,0
0.142421012,-0.218870807,0.364306887,1,0.266169816,-1.309929264,0.674817933,-1,-1,0.052045443,0
0.052045443,-0.195997623,0.104496125,-1,2.208350114,-0.006566851,2.483510567,1,-1,0.421118079,0
0.421118079,-0.014688959,0.534936036,1,-2.037317861,-2.493765586,0.006730834,-1,-1,0.282472792,0
0.282472792,-0.161297845,0.395621088,1,1.54750642,-0.006654245,1.829640171,1,1,0.27287954,0
0.27287954,-0.097970026,0.294013001,1,0.533440021,-0.271199894,0.734950224,1,1,-0.18659568,0
-0.18659568,-0.270732845,0.035082155,-1,-0.665468823,-1.132600344,0.201382829,-1,1,0.379336736,0
0.379336736,-0.013968592,0.418062693,1,0.540248514,-0.33471683,0.614989525,1,1,0.022786869,0
